Unnamed: 0,h_cover,v_cover,cluster,area
0,0.9473684210526316,1.0,595,10.26
1,1.0,1.0,99,176.78
2,0.9203389830508474,1.0,783,5.9
3,0.9999384021518182,1.0,35,487.03
4,1.0,1.0,108,32.36
5,1.0,1.0,375,18.12
6,0.9997800263968324,1.0,115,45.46
7,0.9706177440160528,0.9999283359610148,516,139.54
8,0.9831267217630856,1.0,678,58.08
9,1.0,1.0,409,27.33
10,0.9715808170515098,1.0,769,90.08
11,1.0,1.0,408,79.65
12,1.0,0.9998268098372012,444,115.48
13,1.0,1.0,244,16.28
14,0.9998247765901525,1.0,404,57.07
15,1.0,1.0,379,9.73
16,1.0,1.0,89,11.24
17,0.9999813589337312,1.0,362,536.45
18,1.0,1.0,380,41.98
19,0.925868725868726,1.0,550,12.95
20,0.9593778591033852,1.0,512,109.3
21,1.0,1.0,48,20.1
22,0.9750479846449136,1.0,671,5.21
23,1.0,1.0,230,16.8
24,0.978870202673566,1.0,701,46.38
25,1.0,1.0,461,5.07
26,0.9996888612321096,1.0,330,32.14
27,1.0,1.0,4,52.59
28,0.951505016722408,1.0,599,5.98
29,0.9157119476268412,1.0,520,24.44
30,1.0,1.0,263,46.45
31,1.0,1.0,169,78.15
32,0.9588569112282124,1.0,492,49.34
33,1.0,1.0,118,19.88
34,0.9013035381750464,1.0,534,5.37
35,0.9999386841621192,1.0,122,163.09
36,1.0,1.0,105,32.6
37,0.9362859362859364,1.0,522,12.87
38,0.9565217391304348,1.0,757,5.06
39,1.0,1.0,243,65.84
40,0.9566371681415928,1.0,751,22.6
41,0.9698640205806688,1.0,716,27.21
42,0.972880983750549,1.0,507,91.08
43,0.9999903143947464,0.9997869166844237,131,1032.46
44,0.9525362726352492,1.0,578,88.91
45,0.9298393913778528,1.0,494,11.83
46,1.0,1.0,103,83.31
47,0.9999871978697256,0.9926771814829988,188,781.12
48,1.0,1.0,384,34.55
49,1.0,1.0,41,21.85
50,1.0,1.0,254,254.88
51,1.0,1.0,355,51.58
52,0.952932098765432,1.0,758,12.96
53,1.0,1.0,11,45.05
54,0.92863436123348,1.0,493,11.35
55,0.9825723248518649,1.0,677,28.69
56,1.0,1.0,38,91.39
57,1.0,1.0,97,127.76
58,0.934065934065934,1.0,489,12.74
59,0.966167498613422,1.0,500,18.03
60,0.9778225806451613,1.0,661,24.8
61,1.0,1.0,276,9.72
62,0.980552849897558,1.0,491,297.73
64,1.0,1.0,40,9.45
65,0.9444444444444444,1.0,535,6.66
66,1.0,1.0,151,45.91
67,1.0,1.0,287,129.81
68,1.0,1.0,239,8.14
69,0.9618474936498886,1.0,488,192.91
70,0.94640522875817,1.0,762,7.65
71,1.0,1.0,317,79.65
72,1.0,1.0,94,12.91
73,1.0,1.0,268,21.08
74,1.0,1.0,84,11.86
75,0.9886234357224118,1.0,605,17.58
76,1.0,1.0,305,8.79
77,0.9930213464696224,1.0,655,24.36
78,0.9367088607594936,1.0,756,9.48
79,1.0,1.0,234,8.92
80,1.0,1.0,411,43.75
81,1.0,1.0,387,440.89
82,1.0,1.0,34,43.35
83,0.9614506720770986,1.0,750,39.43
84,0.9269949066213924,1.0,541,11.78
85,1.0,1.0,346,5.53
86,1.0,1.0,67,22.05
87,1.0,0.9805708562844266,298,99.85
88,0.9423741836342682,0.9969266231271608,543,26.03
89,1.0,1.0,88,25.82
90,1.0,1.0,264,8.85
91,0.941427050053248,1.0,775,9.39
92,0.9551488987793928,0.9999808981681344,558,523.51
93,1.0,1.0,395,26.47
94,1.0,1.0,174,222.28
95,1.0,1.0,295,27.02
96,0.9505801461108724,1.0,787,23.27
97,0.9616153538584564,1.0,766,25.01
98,1.0,1.0,63,5.17
99,0.9905709795704556,1.0,667,57.27
100,0.9284802043422732,1.0,546,7.83
101,0.945259165613148,1.0,530,79.1
102,0.9808405438813348,1.0,606,32.36
103,1.0,1.0,224,6.31
104,0.9996984318455971,1.0,246,33.16
105,1.0,0.9997992572518318,39,199.26
106,0.9586492074431426,1.0,721,14.51
107,1.0,1.0,95,22.33
108,1.0,1.0,321,14.7
109,1.0,1.0,102,44.11
110,1.0,1.0,223,14.24
111,0.9850187265917604,1.0,635,16.02
112,1.0,1.0,300,116.85
113,1.0,1.0,203,38.52
114,1.0,1.0,417,24.76
115,1.0,1.0,351,13.33
116,0.9896945990672484,1.0,683,132.94
117,0.999881432297842,1.0,27,84.34
118,0.9850909588291616,1.0,608,73.11
119,0.9999892063423532,0.9999892063423532,260,926.47
120,1.0,1.0,140,40.1
122,1.0,1.0,168,122.81
123,1.0,1.0,171,28.5
124,0.983843537414966,1.0,622,47.04
125,1.0,1.0,272,18.54
126,0.9816450216450217,0.9838095238095238,633,115.5
127,0.9642857142857144,1.0,737,11.76
128,0.9979939819458372,1.0,337,9.97
129,0.9951522202831103,1.0,654,51.57
130,1.0,1.0,266,9.27
131,0.938875786163522,1.0,503,101.76
132,1.0,0.9997241125620748,299,108.74
133,1.0,1.0,414,238.37
134,1.0,1.0,347,8.04
135,0.99438202247191,1.0,645,8.9
136,0.9790794979079498,1.0,704,7.17
137,0.983363581367211,1.0,615,33.06
138,1.0,1.0,123,13.42
139,1.0,1.0,54,23.23
140,0.9793650793650792,1.0,672,6.3
141,1.0,1.0,182,23.49
142,0.957202842377261,1.0,526,61.92
143,0.9840404826780847,1.0,603,25.69
144,1.0,1.0,43,31.38
145,0.9644549763033176,1.0,745,16.88
146,1.0,1.0,19,47.16
147,0.9796794504865484,1.0,733,34.94
148,1.0,1.0,369,121.59
149,1.0,1.0,459,64.76
150,1.0,1.0,53,25.67
151,1.0,1.0,435,53.52
152,1.0,1.0,185,118.93
153,0.901766004415011,1.0,482,9.06
154,1.0,1.0,199,11.7
155,1.0,1.0,361,20.12
156,1.0,1.0,137,29.8
157,1.0,1.0,219,21.53
158,0.9488320355951056,1.0,717,8.99
159,0.9338122113904568,1.0,777,19.49
160,0.9995944849959448,1.0,341,24.66
161,1.0,1.0,3,33.28
162,1.0,1.0,327,8.09
163,1.0,1.0,392,36.25
164,0.969018427428236,1.0,587,136.21
165,1.0,1.0,324,11.44
166,1.0,1.0,85,9.08
167,0.9685795897169566,1.0,469,38.51
168,0.9784417549167927,1.0,696,26.44
169,1.0,1.0,319,369.1
170,1.0,1.0,279,94.9
171,1.0,1.0,76,25.54
172,1.0,1.0,416,18.76
173,0.9997657531037716,1.0,280,42.69
174,0.9696232697832332,0.999918386001567,542,612.64
175,0.943984090155784,1.0,771,30.17
176,0.9796686746987951,1.0,610,26.56
177,1.0,0.9987339991559994,372,284.36
178,1.0,1.0,80,31.67
179,0.9807538091419408,1.0,688,12.47
180,0.981372549019608,1.0,651,10.2
181,0.9749563191613276,1.0,685,17.17
182,1.0,0.9998608211551844,329,143.7
183,0.9817307692307692,1.0,576,10.4
184,0.976908815101972,1.0,668,59.33
185,1.0,1.0,24,77.79
186,1.0,1.0,238,12.81
187,1.0,1.0,78,145.78
188,1.0,1.0,147,21.12
189,1.0,1.0,289,17.72
190,1.0,1.0,253,80.68
191,0.966010733452594,1.0,728,16.77
192,1.0,1.0,453,65.12
193,1.0,1.0,221,78.18
194,0.9354037267080744,1.0,537,32.2
195,1.0,1.0,111,10.22
196,0.9628727936701156,1.0,749,16.43
197,0.9929354445797808,1.0,629,41.05
199,0.9468802698145026,1.0,790,11.86
200,0.9414316702819956,1.0,544,23.05
201,0.9692527708258848,1.0,465,27.97
202,1.0,0.9976405819897758,350,76.29
203,1.0,1.0,25,26.73
204,0.9850187265917604,1.0,641,16.02
205,0.9832495812395312,1.0,706,5.97
206,1.0,1.0,274,7.73
207,1.0,1.0,117,82.83
209,0.9462897526501768,1.0,791,14.15
210,1.0,1.0,200,362.88
211,1.0,1.0,193,7.49
212,0.9999145591250854,0.9882091592617908,348,117.04
213,1.0,1.0,120,310.49
214,0.9749318801089918,1.0,676,18.35
215,0.9600570613409416,1.0,485,7.01
216,0.9838959031177532,1.0,675,155.24
217,1.0,1.0,442,15.07
218,1.0,1.0,50,33.76
219,0.969221336603311,1.0,480,81.55
220,1.0,1.0,228,17.92
221,1.0,1.0,310,5.02
222,1.0,0.9994694397283532,157,94.24
223,0.9494584837545126,1.0,555,22.16
224,1.0,1.0,360,21.65
225,1.0,1.0,428,13.72
226,0.9816784869976358,1.0,694,16.92
227,1.0,1.0,431,25.56
228,0.9536810393522877,1.0,508,53.11
229,0.9629696531791908,1.0,568,110.72
230,0.9473684210526316,1.0,759,7.22
231,0.9999915199620094,0.999228316542858,340,1179.24
232,0.9999612695830672,0.9987799918666124,334,516.39
233,1.0,0.9953291957258944,333,312.58
234,0.999986819212316,0.9920322138450994,363,3034.72
235,1.0,1.0,98,13.23
236,1.0,1.0,255,25.1
237,0.999988003694862,1.0,386,833.59
238,1.0,1.0,201,19.47
240,0.9699499165275458,1.0,621,5.99
241,0.9331585845347312,1.0,786,15.26
242,0.9515920269220812,1.0,588,38.63
243,1.0,1.0,167,10.53
244,0.9380863039399624,1.0,718,5.33
245,1.0,1.0,170,19.67
246,0.961,1.0,754,10.0
247,1.0,1.0,162,10.86
248,0.9779342723004694,1.0,669,21.3
249,0.974713208052493,0.9989733517832432,585,448.06
250,0.977319587628866,1.0,779,29.1
251,1.0,1.0,349,21.09
252,0.9218351741716228,0.9995751911639764,521,23.54
253,1.0,1.0,456,247.23
254,1.0,1.0,158,19.23
255,1.0,1.0,344,9.53
256,0.9736564805057956,1.0,695,9.49
257,0.9956857810533885,0.9999101204386122,634,111.26
258,0.9999160651334564,1.0,374,119.14
259,0.9426470588235296,1.0,726,6.8
260,1.0,0.9966684201297564,335,57.03
261,1.0,1.0,368,23.9
262,0.9548472775564408,1.0,524,22.59
263,0.9561696045736066,1.0,724,20.99
264,1.0,1.0,31,214.9
265,0.9503042596348884,1.0,778,9.86
266,1.0,0.9999452264884702,454,182.57
267,1.0,1.0,83,27.91
268,0.9552040996642516,1.0,449,113.18
269,1.0,1.0,342,12.18
270,1.0,0.9985823034487008,314,324.47
271,1.0,1.0,269,6.18
272,1.0,1.0,125,12.47
273,0.9828199052132702,1.0,470,16.88
275,0.968282901932191,1.0,711,27.43
276,1.0,1.0,313,9.41
277,0.9479653102068046,1.0,471,14.99
278,1.0,1.0,398,9.16
279,0.9313993174061432,1.0,527,29.3
280,0.9512471655328798,1.0,739,8.82
281,1.0,1.0,110,48.56
282,0.92942254812099,1.0,573,32.73
283,1.0,1.0,265,12.59
284,1.0,1.0,187,15.13
285,0.9999582742218144,1.0,301,718.98
286,1.0,0.9998564249820532,357,69.65
287,0.9679300291545188,1.0,577,144.06
288,1.0,1.0,26,20.89
289,0.9138263665594856,1.0,557,15.55
290,0.942295081967213,1.0,475,15.25
291,1.0,1.0,343,7.6
292,1.0,1.0,261,23.42
293,0.981838819523269,1.0,700,8.81
294,1.0,1.0,426,6.51
295,0.9610389610389608,1.0,741,45.43
296,1.0,1.0,418,81.43
297,1.0,1.0,150,23.31
298,1.0,1.0,277,67.85
299,0.9547809703250116,1.0,734,21.23
300,0.9999365430784362,0.999968271539218,388,2836.57
301,0.9821958456973292,1.0,612,6.74
302,0.9790631653655074,1.0,699,28.18
303,1.0,1.0,164,17.9
304,1.0,1.0,114,17.87
305,1.0,1.0,145,82.8
306,1.0,0.9649574073688376,225,960.26
307,0.951783355350066,1.0,720,15.14
308,1.0,1.0,198,12.14
309,0.9873969946679594,1.0,647,20.63
310,0.9619506966773848,1.0,748,18.66
311,1.0,1.0,173,16.41
312,0.9777034559643254,1.0,670,8.97
313,1.0,0.9993685056547448,68,348.38
314,1.0,1.0,209,8.34
315,0.9944598337950138,1.0,657,7.22
316,1.0,1.0,430,59.1
317,1.0,1.0,73,25.1
318,1.0,1.0,436,107.89
319,0.9553571428571428,1.0,789,8.96
320,1.0,1.0,197,11.05
321,1.0,1.0,8,10.52
322,1.0,1.0,154,9.21
323,0.9667721518987342,1.0,774,6.32
324,0.9171612265084076,1.0,519,40.44
325,0.982084690553746,1.0,637,12.28
326,0.9594959495949597,1.0,474,33.33
327,1.0,1.0,30,35.96
328,0.9485179407176288,1.0,486,6.41
329,0.959448499594485,1.0,731,12.33
330,1.0,1.0,303,448.49
331,0.9900271985494108,1.0,703,11.03
332,1.0,1.0,195,7.45
333,0.9195029713668288,1.0,586,18.51
334,0.9998260869565218,1.0,391,57.5
335,0.9715969989281886,1.0,681,18.66
336,1.0,1.0,429,39.51
337,1.0,1.0,308,20.96
338,0.9999006161796858,1.0,415,100.62
339,1.0,1.0,91,53.86
340,0.907775768535262,1.0,501,5.53
341,0.9705183071802188,1.0,583,21.03
342,1.0,1.0,128,34.06
344,0.9999326735339664,1.0,385,445.59
345,1.0,1.0,257,16.97
346,0.9837928153717628,1.0,627,59.85
347,1.0,1.0,82,8.12
348,1.0,1.0,399,200.47
349,0.9322787938704892,1.0,768,20.23
350,0.9724249797242498,1.0,652,12.33
351,1.0,1.0,49,40.77
352,1.0,1.0,81,51.41
353,1.0,1.0,251,8.55
354,1.0,1.0,65,16.31
355,0.99302649930265,0.99860529986053,640,7.17
356,0.9322200392927308,1.0,581,10.18
357,0.9995262908574136,1.0,441,21.11
358,0.9999544045230714,0.9999088090461428,326,219.32
359,0.9898358092259578,1.0,625,12.79
361,1.0,1.0,273,10.71
362,1.0,1.0,192,8.18
363,0.9538926681783824,1.0,715,13.23
364,1.0,1.0,75,10.06
365,0.9849812265331664,1.0,663,7.99
366,1.0,1.0,58,31.85
367,1.0,1.0,126,25.86
368,0.9997070884592854,1.0,206,34.14
369,1.0,1.0,106,6.73
370,1.0,1.0,166,19.16
371,1.0,0.9969739619985925,270,142.1
372,0.9853760445682452,1.0,658,14.36
373,1.0,1.0,312,15.35
374,0.9260918253079508,1.0,540,8.93
375,1.0,1.0,62,51.11
376,1.0,1.0,141,293.46
377,0.9700097642627984,1.0,575,71.69
378,1.0,1.0,412,139.52
379,0.9994591671173608,1.0,288,18.49
380,1.0,1.0,432,40.22
381,1.0,1.0,163,13.64
382,0.9996695853295886,1.0,452,181.59
383,1.0,1.0,451,457.32
384,0.9851301115241636,1.0,705,21.52
385,1.0,0.9687117503059977,184,130.72
386,0.969059405940594,1.0,767,72.72
387,1.0,1.0,42,78.26
388,1.0,1.0,353,20.29
389,1.0,1.0,220,26.54
390,0.982,1.0,484,65.0
391,1.0,1.0,403,35.4
392,0.9545793000744602,1.0,473,40.29
393,0.9425837320574164,1.0,761,8.36
394,1.0,1.0,71,8.85
395,1.0,1.0,407,75.09
